SNIPPET;INDEX;CYCLES;POINTS;OBSTACLES
testrun-2-0;145;1132387;231;9
testrun-2-0;146;1040174;221;8
testrun-2-0;147;948396;201;8
testrun-2-0;148;924213;182;8
testrun-2-0;149;844718;168;7
testrun-2-0;150;967355;194;8
testrun-2-0;151;904407;181;8
testrun-2-0;152;834895;158;8
testrun-2-0;153;878577;182;7
testrun-2-0;154;911066;168;8
testrun-2-0;155;913951;175;9
testrun-2-0;156;849080;175;7
testrun-2-0;157;867467;174;7
testrun-2-0;158;747693;157;7
testrun-2-0;159;778537;164;7
testrun-2-0;160;890029;187;9
testrun-2-0;161;1052767;208;8
testrun-2-0;162;1132145;227;7
testrun-2-0;163;1067672;224;7
testrun-2-0;164;1048758;219;8
testrun-2-0;165;1013621;195;8
testrun-2-0;166;948250;197;10
testrun-2-0;167;1053585;220;9
testrun-2-0;168;987468;207;10
testrun-2-0;169;1109379;216;9
testrun-2-0;170;981394;199;8
testrun-2-0;171;1062503;216;8
testrun-2-0;172;1036690;195;8
testrun-2-0;173;932216;178;6
testrun-2-0;174;892056;183;7
testrun-2-0;175;962265;179;8
testrun-2-0;176;889194;175;8
testrun-2-0;177;736425;152;8
testrun-2-0;178;876571;176;7
testrun-2-0;179;1016743;190;8
testrun-2-0;180;1129880;228;8
testrun-2-0;181;1187116;240;7
testrun-2-0;182;1189094;247;6
testrun-2-0;183;1145186;234;6
testrun-2-0;184;1102960;224;8
testrun-2-0;185;1142517;241;7
testrun-2-0;186;1158786;243;7
testrun-2-0;187;1165760;243;7
testrun-2-0;188;1154769;243;7
testrun-2-0;189;1083514;206;8
testrun-2-0;190;921034;193;9
testrun-2-0;191;987907;204;9
testrun-2-0;192;960471;198;9
testrun-2-0;193;990030;202;7
testrun-2-0;194;875806;179;7
testrun-2-0;195;785291;163;6
testrun-2-0;196;969355;201;7
testrun-2-0;197;822491;172;7
testrun-2-0;198;924005;194;7
testrun-2-0;199;905170;185;7
testrun-2-1;0;806591;162;7
testrun-2-1;1;841423;177;8
testrun-2-1;2;826331;172;7
testrun-2-1;3;903472;174;7
testrun-2-1;4;962712;201;8
testrun-2-1;5;958301;203;8
testrun-2-1;6;1209885;243;9
testrun-2-1;7;1208247;249;9
testrun-2-1;8;1119508;230;7
testrun-2-1;9;1178634;238;8
testrun-2-1;10;1114848;233;9
testrun-2-1;11;1234878;243;8
testrun-2-1;12;1074043;227;9
testrun-2-1;13;1062282;216;8
testrun-2-1;14;1057244;214;8
testrun-2-1;15;1010043;211;8
testrun-2-1;16;883281;184;7
testrun-2-1;17;837914;172;6
testrun-2-1;18;991330;204;8
testrun-2-1;19;878461;184;8
testrun-2-1;20;1006446;204;7
testrun-2-1;21;966354;194;7
testrun-2-1;22;874524;178;7
testrun-2-1;23;844541;173;6
testrun-2-1;24;999960;203;7
testrun-2-1;25;897367;188;8
testrun-2-1;26;898793;191;9
testrun-2-1;27;1169260;228;8
testrun-2-1;28;927283;195;6
testrun-2-1;29;1028880;214;8
testrun-3-0;0;998945;205;10
testrun-3-0;1;1093490;206;9
testrun-3-0;2;1043106;217;9
testrun-3-0;3;1050558;202;7
testrun-3-0;4;1012871;202;6
testrun-3-0;5;1188883;244;8
testrun-3-0;6;1232266;242;10
testrun-3-0;7;1095844;228;9
testrun-3-0;8;1142306;240;7
testrun-3-0;9;1093754;228;7
testrun-3-0;10;1202545;244;8
testrun-3-0;11;1126507;231;7
testrun-3-0;12;1061588;224;9
testrun-3-0;13;1184117;231;8
testrun-3-0;14;988166;203;8
testrun-3-0;15;875760;177;7
testrun-3-0;16;1027148;208;8
testrun-3-0;17;1040821;203;7
testrun-3-0;18;906445;188;8
testrun-3-0;19;994472;206;7
testrun-3-0;20;1033100;214;8
testrun-3-0;21;902016;183;7
testrun-3-0;22;877253;177;7
testrun-3-0;23;921779;184;7
testrun-3-0;24;845500;177;8
testrun-3-0;25;912048;178;8
testrun-3-0;26;739881;150;8
testrun-3-0;27;833048;174;8
testrun-3-0;28;801553;169;8
testrun-3-0;29;823994;167;6
testrun-3-0;30;888078;190;8
testrun-3-0;31;1048250;217;8
testrun-3-0;32;896722;183;8
testrun-3-0;33;998169;200;9
testrun-3-0;34;1018873;206;8
testrun-3-0;35;1118658;209;7
testrun-3-0;36;1056113;217;7
testrun-3-0;37;1213567;244;9
testrun-3-0;38;1209092;253;10
testrun-3-0;39;1151612;229;7
testrun-3-0;40;1110072;233;7
testrun-3-0;41;1111752;232;7
testrun-3-0;42;1136984;239;9
testrun-3-0;43;928141;196;7
testrun-3-0;44;1005313;190;9
testrun-3-0;45;898489;181;7
testrun-3-0;46;813685;166;8
testrun-3-0;47;753616;159;9
testrun-3-0;48;888150;175;7
testrun-3-0;49;935233;188;9
testrun-3-0;50;1044415;215;8
testrun-3-0;51;1064735;224;7
testrun-3-0;52;1016720;213;9
testrun-3-0;53;1263182;237;9
testrun-3-0;54;1233164;253;8
testrun-3-0;55;1133488;238;7
testrun-3-0;56;1099826;228;7
testrun-3-0;57;1212286;251;7
testrun-3-0;58;1141355;238;7
testrun-3-0;59;1049440;222;8
testrun-3-0;60;1148103;240;6
testrun-3-0;61;1162112;241;6
testrun-3-0;62;1027863;216;8
testrun-3-0;63;1053301;213;6
testrun-3-0;64;970719;202;7
testrun-3-0;65;1044223;217;7
testrun-3-0;66;1165786;229;9
testrun-3-0;67;1027454;218;7
testrun-3-0;68;986042;209;9
testrun-3-0;69;866049;183;8
testrun-3-0;70;767479;157;7
testrun-3-0;71;894924;179;7
testrun-3-0;72;907801;184;7
testrun-3-0;73;1011907;206;8
testrun-3-0;74;1179050;243;7
testrun-3-0;75;1086327;231;8
testrun-3-0;76;1230619;240;8
testrun-3-0;77;1170396;244;8
testrun-3-0;78;1178567;235;9
testrun-3-0;79;1144349;243;8
testrun-3-0;80;1124156;235;7
testrun-3-0;81;1052237;222;7
testrun-3-0;82;1172452;241;7
testrun-3-0;83;1151048;237;7
testrun-3-0;84;990593;194;7
testrun-3-0;85;934748;189;9
testrun-3-0;86;1018724;211;10
testrun-3-0;87;1010028;214;9
testrun-3-0;88;1069416;220;9
testrun-3-0;89;1019627;211;10
testrun-3-0;90;1063636;221;9
testrun-3-0;91;979578;188;7
testrun-3-0;92;959040;181;8
testrun-3-0;93;885157;182;8
testrun-3-0;94;866234;171;7
testrun-3-0;95;890272;172;8
testrun-3-0;96;840359;176;8
testrun-3-0;97;1050336;192;8
testrun-3-0;98;1246865;234;8
testrun-3-0;99;1128840;235;6
testrun-3-0;100;1152170;240;10
testrun-3-0;101;1167557;243;6
testrun-3-0;102;1101067;226;6
testrun-3-0;103;1067481;209;8
testrun-3-0;104;1018530;209;7
testrun-3-0;105;1071800;225;8
testrun-3-0;106;1097563;229;9
testrun-3-0;107;1099424;227;8
testrun-3-0;108;1116985;229;9
testrun-3-0;109;1034696;218;9
testrun-3-0;110;988407;200;8
testrun-3-0;111;1119639;225;10
testrun-3-0;112;993025;205;10
testrun-3-0;113;960690;193;10
testrun-3-0;114;902336;184;7
testrun-3-0;115;948642;193;7
testrun-3-0;116;993062;200;7
testrun-3-0;117;869212;161;7
testrun-3-0;118;896847;190;7
testrun-3-0;119;961258;200;7
testrun-3-0;120;964224;196;9
testrun-3-0;121;1079177;211;7
testrun-3-0;122;1069070;213;7
testrun-3-0;123;990940;195;7
testrun-3-0;124;1011404;211;6
testrun-3-0;125;1073829;218;9
testrun-3-0;126;979684;198;7
testrun-3-0;127;1037841;212;7
testrun-3-0;128;1049373;217;9
testrun-3-0;129;1121058;239;10
testrun-3-0;130;1096582;222;10
testrun-3-0;131;1100769;233;9
testrun-3-0;132;1054555;221;9
testrun-3-0;133;1016159;209;8
testrun-3-0;134;947398;198;8
testrun-3-0;135;1100136;221;9
testrun-3-0;136;1043834;206;8
testrun-3-0;137;1003212;207;8
testrun-3-0;138;964061;192;8
testrun-3-0;139;795969;166;8
testrun-3-0;140;917153;191;7
testrun-3-0;141;864757;172;7
testrun-3-0;142;849081;176;7
testrun-3-0;143;853792;182;7
testrun-3-0;144;857876;182;8
testrun-3-0;145;922632;195;9
testrun-3-0;146;884368;187;9
testrun-3-0;147;920977;195;8
testrun-3-0;148;999832;212;8
testrun-3-0;149;862021;178;7
testrun-3-0;150;997655;200;7
testrun-3-0;151;1033252;212;8
testrun-3-0;152;1109037;226;6
testrun-3-0;153;1056042;207;7
testrun-3-0;154;1138490;228;8
testrun-3-0;155;971190;196;8
testrun-3-0;156;982298;200;10
testrun-3-0;157;1060108;215;10
testrun-3-0;158;956085;196;9
testrun-3-0;159;1153022;219;8
testrun-3-0;160;933599;195;7
testrun-3-0;161;1060622;213;7
testrun-3-0;162;946179;197;8
testrun-3-0;163;941849;182;6
testrun-3-0;164;945959;185;9
testrun-3-0;165;962966;203;9
testrun-3-0;166;932403;195;9
testrun-3-0;167;962434;188;8
testrun-3-0;168;1134030;226;9
testrun-3-0;169;1130849;235;7
testrun-3-0;170;1079916;225;7
testrun-3-0;171;1121066;230;7
testrun-3-0;172;1137341;208;8
testrun-3-0;173;1003916;206;6
testrun-3-0;174;962318;200;7
testrun-3-0;175;1120314;232;7
testrun-3-0;176;1013228;212;8
testrun-3-0;177;1164543;233;9
testrun-3-0;178;1136553;228;10
testrun-3-0;179;1154025;221;10
testrun-3-0;180;1167936;228;9
testrun-3-0;181;959622;195;9
testrun-3-0;182;1165145;234;10
testrun-3-0;183;1154946;224;8
testrun-3-0;184;1100087;213;8
testrun-3-0;185;994147;198;8
testrun-3-0;186;881380;185;8
testrun-3-0;187;967784;201;7
testrun-3-0;188;1013144;193;7
testrun-3-0;189;872512;181;8
testrun-3-0;190;943606;187;9
testrun-3-0;191;1017683;210;9
testrun-3-0;192;1027735;217;10
testrun-3-0;193;1053748;206;9
testrun-3-0;194;1228092;250;8
testrun-3-0;195;1158629;239;7
testrun-3-0;196;1155175;241;7
testrun-3-0;197;1197365;231;7
testrun-3-0;198;1159280;241;7
testrun-3-0;199;1099210;229;8
testrun-3-1;0;1035139;214;8
testrun-3-1;1;1104288;230;6
testrun-3-1;2;1125965;232;7
testrun-3-1;3;1057996;207;8
testrun-3-1;4;919847;184;7
testrun-3-1;5;836290;162;7
testrun-3-1;6;877181;177;7
testrun-3-1;7;997273;188;8
